text,callout,flag
"2024-05-25
*企微消息*
用户:老师，今天请假
LA:那我们什么时候补课呀
用户:过几天吧
LA:那咱们可以提前约好呢
LA:看大概哪天有时间",0,1
"2024-05-25
*企微消息*
LA:呦呦妈妈，今天的课又没上，近一个月8节课缺了有3节了，从4月到现在已经缺课有6节课了，而且都没有补课，明显能感受到孩子上课的习惯和效果是没有之前好的哈，而且在班上，课后的火花秘籍、小老师视频、专题自评、嘉年华的完成率也是班里最低的，希望妈妈能重视起来，您在火花学，我们有责任有义务提醒您和告知您~

时间不合适可以换，但是隔三差五缺课补课属实不建议哈
用户:最近孩子老生病
LA:[拥抱]这样呀，不好意思，我不知情，妈妈也辛苦啦
LA:希望宝贝快快好起来哦",0,1
"2024-05-25
*企微消息*
LA:再坚持一下，ἳ1播种和收获，本就在不同的季节ἳ3
今天周六，小懿宝贝要学习《有个小马虎》，2024-05-2518:20:00准时进入ἳ7

惊喜藏在努力里ὠe周末也别忘记巩固【火花秘籍】和【小老师视频】哦~
用户:[OK]
LA:[愉快]
用户:老师你好，小懿去补牙还没那么快，今天课请个假吧[抱拳][抱拳][抱拳]
用户:[抱拳][抱拳]
LA:[爱心][爱心]",0,0
"2024-05-25
*外呼消息*
用户:你好，胡老师。
LA:唉你好，华州妈妈，嗯今天请假了，呀。
用户:对对，晚上今天有没有比赛，我们运动的比赛，没没在家，就没赶上，啊上课，我明天抽空让他补一下课。
LA:好好嗯。
LA:嗯我我给您约，还是您自己约？
用户:嗯我自己约一下，我我自己不是也能看到你，那个啊
LA:对对对，您自己约一下那就
LA:嗯另外有个事跟您说一下。
LA:嗯L8的课程呢会在今年的7月啊初的时候结束，然后后续会开始L9的课程，上课时间还是保持不变是吗？
用户:噢好的。
用户:噢噢保持中电了。
LA:嗯行，好的，那我先给您记下来。
LA:另外一方面的话有有个事跟您说一下，
用户:唉要划动。
LA:这是孩子现在的这个值偏低，我分析了一下，是因为我们的那个专题测评基本上没怎么做了。
用户:是的是的，我我再督促一下他。
LA:行，那您辛苦。
用户:噢噢应该的应该的。
LA:好好好行。
LA:好好好，嗯拜拜。
用户:那麻烦您了，谢谢胡老师，啊
LA:好好不客气，好，拜拜！
用户:好，再见。
",1,1
"2024-05-25
*企微消息*
LA:宸仔妈妈，活动最后一天啦～很多犹豫观望的家长都给宝贝定下了活动优惠～
LA:现在的活动优惠力度真的非常大，我不知道该如何通知您呢。平时没有活动的时候，即使我们想多争取一些优惠来续课，我也申请不到。现在活动这么划算，如果我们不报名就要错过了。
LA:明天周日，宝贝要学习《八面披风与缠绕飞带（二）》，记得准时进入课堂ἳ7

再坚持一下，ἳ1播种和收获，本就在不同的季节ἳ3
这个周末怎么过？20:00前每个整点都可以参加【嘉年华复习课】

",0,0
"2024-05-25
*企微消息*
LA:mia今天要学习《半壁江山（基础）》，2024-05-2518:50:00辛苦您提醒宝贝准时进入✨

课后辛苦督促宝贝完成【火花秘籍】和【火花秘籍】授课老师会批改~
LA:又到了黄金周末啦，近期专题难度增加，周末是参加免费专题复习课的黄金时期。
ὄ7ὄ7ὄ7每天具体的场次有：
8：00、9：00、10:00、11:00、12：00、13：00、14：00、15:00、16：00、17:00、18：00、19:00、20:00。",0,0
"2024-05-25
*企微消息*
LA:7点嘉年华复习课可以参加哟，就在学生端右上角【嘉年华】就可以加入哟。8点也行
明天的所有整点时间也可以参加",0,0
"2024-05-25
*企微消息*
用户:我还有多少次请假机会？
LA:抱歉呀一一妈妈，我现在不在公司，妈妈可以在您的家长端看到呢
LA:或者我回公司了跟您说
*企微群聊消息*
用户:@悠游老师 老师老师，11今天请假。她还在医院排队看牙。赶不及回去上课
老师:好哒没事之后有时间补一补",0,0
"2024-05-25
*企微消息*
用户:妙妙今天请假
LA:好的，孩子这两天其他时间可以补课吗
LA:明天周日，宝贝要学习《八面披风与缠绕飞带（二）》，记得准时进入课堂ἳ7

再坚持一下，ἳ1播种和收获，本就在不同的季节ἳ3
这个周末怎么过？20:00前每个整点都可以参加【嘉年华复习课】",0,1
"2024-05-25
*企微消息*
用户:冯老师您好，请问你帮唐唐请假了吗？
LA:嗯嗯不会消耗课时的这个您放心哈
LA:上面给您留言的消息咱们看了吗
LA:您看补课的时间安排在什么时候呀",0,1
"2024-05-25
*企微消息*
LA:再坚持一下，ἳ1播种和收获，本就在不同的季节ἳ3
今天周六，元宝宝贝要学习《巧排妙布（上）》，2024-05-2517:25:00准时进入ἳ7

惊喜藏在努力里ὠe周末也别忘记巩固【火花秘籍】和【小老师视频】哦~
用户:老师我得给元宝请假。
用户:今天请假
LA:那明天能给宝贝补课吗？
用户:明天也有课老师
LA:搞忘记了[捂脸]
LA:那咱们什么时候有空再给宝贝补课吧
用户:好的好的。谢谢啦
LA:不客气~",0,1
"2024-05-25
*企微消息*
用户:今天外出，这次课我们回看可以吗？[害羞]
LA:可以哒，晚上的课程先帮宝贝请假哦~[爱心]
LA:图图妈妈，小朋友周末可以补课嘛？
LA:今天周六啦ὠa
⛳本周海报没有打卡的话，咱们今天可以参加一下哦，（若本周已经打卡，可忽略哈ὅ0)
打卡提醒ὄ6
LA:图图妈妈，小朋友本周还有以下作业未完成，周末咱们一定要记得及时完成哦~Ὁ5

未完成清单ᾟe：火花秘籍:
剪纸与火柴专题的火柴游戏（上）课次
小老师视频:
剪纸与火柴专题的火柴游戏（上）课次

LA:叮咚！

8:00都有嘉年华哦，可以去参加一下呢~
遗忘是常态，复习才是制胜秘籍~",0,1
"2024-05-25
*企微消息*
LA:今天周六，宝贝要学习《火柴游戏（下）》，记得准时进入课堂ἳ7

再坚持一下，ἳ1播种和收获，本就在不同的季节ἳ3
这个周末怎么过？20:00前每个整点都可以参加【嘉年华复习课】",0,0
"2024-05-25
*企微消息*
用户:老师，笑笑生病了，今天请假
LA:好的，放心休息哈，上课不用管了，希望宝贝快快好起来[拥抱][拥抱]
",0,0
"2024-05-25
*企微消息*
LA:乐宝妈妈十一点半的课程没上
LA:什么时候安排下补课班啊
用户:我晚上让他看录播
LA:有时间上直播课更好呀 这个D阶段的内容是非常重要的 还是建议直播
LA:又到了黄金周末啦，近期专题难度增加，周末是参加免费专题复习课的黄金时期。
ὄ7ὄ7ὄ7每天具体的场次有：
8：00、9：00、10:00、11:00、12：00、13：00、14：00、15:00、16：00、17:00、18：00、19:00、20:00。
LA:嗨喽宝贝✌昨天第25讲击双的实战应用已经结束了，本次课我们主要学习的是击双当中的具体技巧和使用策略，击双是我们小朋友后续对弈中非常有效的一种战术，通过击双我们能更快的取得棋盘上的优势，便于赢得一局对弈，所以课下火花秘籍是非常重要的✊一定要及时完成，不懂的问题及时在群内问老师哦[机智] 
",0,1
"2024-05-25
*企微消息*
LA:家长您好，关注到宝贝上节课没有上课，为避免影响下节课的课堂效果，您看什么时间方便补课，我帮宝贝安排一下～
LA:今天周六啦ὠa
⛳本周海报没有打卡的话，咱们今天可以参加一下哦，（若本周已经打卡，可忽略哈ὅ0)
打卡提醒ὄ61000火花币等待咱们获得
火花币及时使用，兑换课时更划算Ὥ2https://m.huohua.cn/user_center/coin_goods_detail?spuCode=SPU2101104207&page_from=%E5%95%86%E5%9F%8E%E9%A6%96%E9%A1%B5
LA:ὁd思维在不断运用中提升ὁd
Robbie今天要学习《没有尽头的奔跑（四）》，2024-05-2520:00:00记得准时进入课堂ᾘb

课后要坚持完成哦，火花秘籍&小老师视频要记得提交呢~ἱe",1,1
"2024-05-25
*企微消息*
LA:孩子最近有时间补课吗？[哇][哇][哇]
LA:小朋友最近有课程要补哦，为了不影响后续课程衔接，咱们可以尽快安排好哦

①可以在家长端预约哦：
家长端-我的课程-学习任务-缺课课程
②可以直接点击链接补课哦
https://m.huohua.cn/course_v2
LA:咱们7:00和8:00都有嘉年华哦，可以去参加一下呢~
遗忘是常态，复习才是制胜秘籍~

点击学生端右上角-【嘉年华】参加哦~
*企微群聊消息*
用户:老师俞昕辰今天又要请假了
用户:不是，今天临时出去了
LA:是这个档期不太合适嘛~
LA:嗯呐，明白啦
LA:宝宝这节课还有前1节课共2节课没有上课的，最近
LA:我们看什么时间方便~
LA:我来预约一下补课呢
",0,1
"2024-05-25
*企微消息*
LA:孩子最近有时间补课吗？[哇][哇][哇]
LA:小朋友最近有课程要补哦，为了不影响后续课程衔接，咱们可以尽快安排好哦

①可以在家长端预约哦：
家长端-我的课程-学习任务-缺课课程
②可以直接点击链接补课哦
https://m.huohua.cn/course_v2
LA:咱们7:00和8:00都有嘉年华哦，可以去参加一下呢~
遗忘是常态，复习才是制胜秘籍~

点击学生端右上角-【嘉年华】参加哦~
LA:小朋友明天有火花的课哦，梦梦宝贝要学习《巧排妙布（下）》，2024-05-2610:00:00准时进入课堂ὑ4

ἶd火花秘籍ἶd小老师视频ἶd及时验收学习结果，提升宝贝成就感
",0,1
"2024-05-25
*企微消息*
LA:您好，孩子账户里没有请假机会了，这个是请假补课的说明，咱们可以看一下哦
【请假补课】
1.有请假机会，缺课先消耗1次请假机会，补课再消耗课时，直播课补课消耗直播课课时，解锁自学课补课，消耗自学课课时。
2.无请假机会，缺课会先消耗1个课时（消耗了课时的课堂可以在学生端直接看课堂回放），插班补课在火花币充足的情况下，会消耗1000火花币；火花币不足或者参加补课班专列补课，会再消耗一个课时。解锁自学课补课，消耗自学课课时。（病假作特殊处理~）
3.希望您仔细查看，后面咱们尽量按时上课，平常可以做一下周任务分享攒一点火花币以备不时之需哦~Ὂa
请假机会查看路径：家长端-我的-请假机会
LA:小朋友最近有课程要补哦，为了不影响后续课程衔接，咱们可以尽快安排好哦

①可以在家长端预约哦：
家长端-我的课程-学习任务-缺课课程
②可以直接点击链接补课哦
https://m.huohua.cn/course_v2
LA:孩子最近有时间补课吗？[哇][哇][哇]
",0,1
"2024-05-25
*企微消息*
LA:今天周六，浩浩宝贝今要学习《节约小能手》，2024-05-2519:15:00准时进入ἳ7

这个周末怎么过？20:00前的整点别忘记整点进入【嘉年华复习课】
LA:浩浩妈妈，宝贝这个补差权益今天最后一天哦，咱们还考虑嘛[愉快]~
LA:浩浩妈妈，这个补差权益我给宝贝保留了一个订单，订单的有效期是7天，如果妈妈还考虑的话7天之内都可以参加的",1,1
"2024-05-25
*企微消息*
LA:萱萱今天要学习《节约小能手》，2024-05-2520:10:00辛苦您提醒宝贝准时进入✨

课后辛苦督促宝贝完成【火花秘籍】和【火花秘籍】授课老师会批改~
LA:又到了黄金周末啦，近期专题难度增加，周末是参加免费专题复习课的黄金时期。
ὄ7ὄ7ὄ7每天具体的场次有：
8：00、9：00、10:00、11:00、12：00、13：00、14：00、15:00、16：00、17:00、18：00、19:00、20:00。
用户:今天请假
LA:那什么时候上课呀
LA:我来给您安排一下呢
LA:萱萱小朋友本周还有一些课后作/业未完成哦，今天可以提醒宝贝完成一下哟~Ὁ5

作/业如下Ὅ1：ὄf
小老师视频:
《生活大爆炸》专题的有个小马虎课次

LA:明天一整天也没有时间吗
LA:这个D阶段的内容还挺重要的对校内外帮助很大还是建议补直播课

",0,1
"2024-05-25
*企微消息*
LA:Ὅd课后巩固资料来啦~～
以下是小朋友2024-05-24(昨天)在火花学习的课次分析空心零件的组成整理好的巩固资料
ἳc小黑板：https://hf-mix.sparkeducdn.com/huohua/se-hippo/assets/image/1650868441387/5abd8be3-60bd-4f6e-fe28-c2878759e73b.png
ἳb拓展包：https://hf-mix.sparkeducdn.com/huohua/se-hippo/assets/image/1650868380909/1ecd752e-382b-458d-ae84-98a192a2c84d.pdf
https://hf-mix.sparkeducdn.com/huohua/se-hippo/assets/image/1650868402171/6e37d38c-f611-4f23-d324-59b47fb73ec4.pdf
https://hf-mix.sparkeducdn.com/huohua/se-hippo/assets/image/1650868428946/22979a2e-2aca-40d3-ca5e-59019c7af7e9.pdf
ἳ7课后视频：

一定记得检查检查本周课程的火花秘籍和小老师视频都有没有完成提交哦，没有的话记得抽空巩固哦~
LA:今天周六，牛牛宝贝今要学习《分析排水前后的不同》，2024-05-2520:00:00准时进入ἳ7

这个周末怎么过？20:00前的整点别忘记整点进入【嘉年华复习课】
LA:又到了黄金周末啦，近期专题难度增加，周末是参加免费专题复习课的黄金时期。
ὄ7ὄ7ὄ7今晚场次有：20:00",0,0
"2024-05-25
*企微消息*
LA:Ὅd课后巩固资料来啦~～
以下是小朋友2024-05-24(昨天)在火花学习的课次没有尽头的奔跑（三）整理好的巩固资料
ἳc小黑板：https://hf-mix.sparkeducdn.com/huohua/se-hippo/assets/image/1649150168986/cbe87b59-ddc9-4bac-d416-c7fb4411ba12.jpg
ἳb拓展包：https://hf-mix.sparkeducdn.com/huohua/se-hippo/assets/image/1650624838353/a32d3ae8-805c-4e9e-ad66-a6e6c1129f41.pdf
https://hf-mix.sparkeducdn.com/huohua/se-hippo/assets/image/1650624852014/523f8ff2-b82d-4850-9a97-1b36c40c775f.pdf
https://hf-mix.sparkeducdn.com/huohua/se-hippo/1b0d3dcd-38fe-4976-9feb-82948524d8f2.pdf
ἳ7课后视频：https://hf-mix.sparkeducdn.com/huohua/se-hippo/assets/image/1649572275461/24887dc6-7c12-4f56-8afa-cbcc4d509ea9.mp4

一定记得检查检查本周课程的火花秘籍和小老师视频都有没有完成提交哦，没有的话记得抽空巩固哦~
LA:今天周六，彤彤宝贝今要学习《没有尽头的奔跑（四）》，2024-05-2518:50:00准时进入ἳ7

这个周末怎么过？20:00前的整点别忘记整点进入【嘉年华复习课】
LA:又到了黄金周末啦，近期专题难度增加，周末是参加免费专题复习课的黄金时期。
ὄ7ὄ7ὄ7今晚场次有：20:00",0,0
"2024-05-25
*企微消息*
用户:董航通今晚课程时间与其他课程冲突，上不了课，请假
LA:嗯嗯好的[拥抱]
",0,0
"2024-05-25
*企微消息*
LA:今天周六啦ὠa
⛳本周海报没有打卡的话，咱们今天可以参加一下哦，（若本周已经打卡，可忽略哈ὅ0)
打卡提醒ὄ61000火花币等待咱们获得
火花币及时使用，兑换课时更划算Ὥ2https://m.huohua.cn/user_center/coin_goods_detail?spuCode=SPU2101104207&page_from=%E5%95%86%E5%9F%8E%E9%A6%96%E9%A1%B5
LA:又到了黄金周末啦，近期专题难度增加，周末是参加免费专题复习课的黄金时期。
ὄ7ὄ7ὄ7每天具体的场次有：
8：00、9：00、10:00、11:00、12：00、13：00、14：00、15:00、16：00、17:00、18：00、19:00、20:00。
LA:ὁd思维在不断运用中提升ὁd
登登今天要学习《异形分割》，2024-05-2520:20:00记得准时进入课堂ᾘb

课后要坚持完成哦，火花秘籍&小老师视频要记得提交呢~ἱe
用户:老师我们今天请假
LA:是临时有事吗
用户:去看中医
LA:嗯嗯，好的呢
LA:那咱们看看小朋友明天有没有时间方便补课呀

",0,1
