text,callout,flag
"2024-05-25
*企微消息*
LA:蓁蓁妈妈,宝贝今天是假期出门所以请假了不
LA:又到了黄金周末啦，近期专题难度增加，周末是参加免费专题复习课的黄金时期。
ὄ7ὄ7ὄ7每天具体的场次有：
8：00、9：00、10:00、11:00、12：00、13：00、14：00、15:00、16：00、17:00、18：00、19:00、20:00。
LA:宝妈好！ἱf近期Anna蓁蓁宝贝在“按图索骥”专题的学习表现有很多亮点呢！首先，非常棒的是宝贝四节课都没有请假，并且每次都准时上课，这种学习态度真的超级赞ὄd，这种良好的习惯对学习效果是非常有帮助的。

课堂上，宝贝的练习独立性和练习量都表现得非常好，比同级别的同学要优秀，这说明宝贝在理解和应用方面做得很不错！Ὄ8虽然整体正确率有待提高，但我相信只要宝贝再细心一些，【成绩】一定会更上一层楼！我们可以一起努力，看看是不是哪里没注意到，下次一定能做得更好。

专注力方面，动画专注力超过了【年级】平均，这很不容易！ἱf不过在例题和练习环节，专注力稍微有些下降。您可以尝试一下我提供的几个增强专注力的小技巧，比如设定故事时间和参与一些需要集中注意力的游戏或运动，这对提升专注力非常有帮助。

关于薄弱题目，大部分题目宝贝都掌握得很好，但在“综合图形计数”的部分需要加强一下。这一块主要是通过不同的方法来解决复杂图形计数问题，能够锻炼宝贝的分类思维和逻辑分析能力。我已经发了相关的资料和视频链接给您，希望能帮助宝贝巩固这部分知识。Ὅa

接下来的专题“追根溯源”也是关于数的本质，这和当前专题是相互关联的，希望宝贝能够继续保持积极的学习态度，认真对待每一节课哦！

总之，Anna蓁蓁宝贝在这个专题中的表现还是很不错的，继续保持并加油，相信宝贝能够做得更好！ἰ8

",1,1
"2024-05-25
*企微消息*
用户:今天的课要请假
LA:咱们没有请假机会咯哈弟弟妈妈
LA:您看啥时候方便补课咱们安排一下哦在消耗1000火花币就好咯[拥抱]",0,1
"2024-05-25
*企微消息*
用户:需要改一下时间
LA:是今天的时间吗？
LA:请假补课链接：https://www.huohua.cn/
用户:想改到周三
用户:今天我请假了
LA:请假补课链接：https://www.huohua.cn/
LA:那咱们记得先约一下补课哟
",0,1
"2024-05-25
*企微消息*
LA:收到～项项妈妈，我和中文老师先沟通一下～[拥抱][拥抱][拥抱]
用户:好的，谢谢
LA:没事呢～[爱心][爱心][爱心]
LA:今天周六啦ὠa
⛳本周海报没有打卡的话，咱们今天可以参加一下哦，（若本周已经打卡，可忽略哈ὅ0)
打卡提醒ὄ6
用户:刘老师，今天的课如何处理
用户:刘老师，项项生病了，今儿舞蹈考试也是参加不了了，火花的课程也没办法参加了。
LA:好哒，项项妈妈，今晚的课程已经先给宝贝请好假啦，咱们先好好休息哦~[拥抱]
LA:等宝贝好些了，可以给小朋友预约补课，给咱们返还消耗的请假机会哦~[爱心]
用户:好的，谢谢
LA:没事呢～[玫瑰][玫瑰]
LA:项项妈妈，小朋友本周还有以下作业未完成，周末咱们一定要记得及时完成哦~Ὁ5

未完成清单ᾟe：火花秘籍:
剪纸与火柴专题的火柴游戏（上）课次
小老师视频:
剪纸与火柴专题的火柴游戏（上）课次

LA:叮咚！

8:00都有嘉年华哦，可以去参加一下呢~
遗忘是常态，复习才是制胜秘籍~
LA:宝贝家人好呀～宝贝今天在火花思维有课要上哦，辛苦咱们提醒宝贝准时上课，有问题可以随时微信我哈~
用户:小荷老师好，项项生病了，本来今天有舞蹈考试也是参加不了了，火花的课程也没办法参加了。
LA:好滴~这边为您申请病假返还，我这边看了下，拼音班暂时没有直播补课的时间，后面我蹲一下，实在不行我们就互动自学课补课~
用户:好的，谢谢
LA:宝贝家长您好~小荷老师来提醒您记得做本周的周打卡任务哟~（已做完可忽略）",0,1
"2024-05-25
*企微消息*
用户:老师目前的班级还有其他时间吗？进度可以慢一些
用户:想给希希停一个月
LA:希希妈妈，稍后1点到公司我莱帮宝贝查一查哦～[拥抱][拥抱][拥抱]
LA:希希妈妈，目前咱们是在火花的2列班级学习哦，同进度的班级可以帮宝贝延期一周的时间哦~
LA:另外咱们账户里现存有休学机会，休学机会可以每次休30天或者8节课，先到先止哦~[玫瑰]
用户:又一个月以后的班级没
用户:最近孩子学习时间有些紧张
LA:暂时没有一个月以后的班级捏
用户:那大概有多久以后的
LA:最晚是一周以后的时间哦~
LA:希希妈妈，小朋友周末可以补课嘛？
LA:今天周六啦ὠa
⛳本周海报没有打卡的话，咱们今天可以参加一下哦，（若本周已经打卡，可忽略哈ὅ0)
打卡提醒ὄ6
LA:希希妈妈，小朋友本周还有以下作业未完成，周末咱们一定要记得及时完成哦~Ὁ5

未完成清单ᾟe：火花秘籍:
定义新规专题的照猫画虎（一）、照猫画虎（二）课次
小老师视频:
定义新规专题的照猫画虎（一）、照猫画虎（二）课次

LA:叮咚！

8:00都有嘉年华哦，可以去参加一下呢~
遗忘是常态，复习才是制胜秘籍~
LA:小朋友明天火花有课哦~
ἳb希希明天上课的课次是《照猫画虎（四）》，上课时间是2024-05-2611:00:00~

做完火花秘籍+小老师视频也记得发我上传哟，星星宝箱等你开启✨✨
*企微群聊消息*
",0,1
"2024-05-25
*企微消息*
LA:孩子最近有时间补课吗？[哇][哇][哇]
LA:小朋友最近有课程要补哦，为了不影响后续课程衔接，咱们可以尽快安排好哦

①可以在家长端预约哦：
家长端-我的课程-学习任务-缺课课程
②可以直接点击链接补课哦
https://m.huohua.cn/course_v2
LA:咱们7:00和8:00都有嘉年华哦，可以去参加一下呢~
遗忘是常态，复习才是制胜秘籍~

点击学生端右上角-【嘉年华】参加哦~
LA:小朋友明天有火花的课哦，思一宝贝要学习《巧妙的转化进阶》，2024-05-2611:00:00准时进入课堂ὑ4

ἶd火花秘籍ἶd小老师视频ἶd及时验收学习结果，提升宝贝成就感
",0,1
"2024-05-25
*企微消息*
LA:明天周日，宝贝要学习《半壁江山（基础）》，记得准时进入课堂ἳ7

再坚持一下，ἳ1播种和收获，本就在不同的季节ἳ3
这个周末怎么过？20:00前每个整点都可以参加【嘉年华复习课】
",0,0
"2024-05-25
*企微消息*
LA:7点嘉年华复习课可以参加哟，就在学生端右上角【嘉年华】就可以加入哟。8点也行
明天的所有整点时间也可以参加",0,0
"2024-05-25
*企微消息*
用户:潘老师，今天小太阳感冒咳嗽了，我们现在带他去医院看看，上课时间赶不及了
LA:好的，放心去医院哈，上课不用管了，希望宝贝快快好起来[拥抱][拥抱]
*企微群聊消息*
用户:@吴哈哈老师 哈哈老师，我家小太阳昨天感冒咳嗽了，今天得请假一天
",0,0
"2024-05-25
*企微消息*
LA:Cindy妈妈，最后一天啦～很多犹豫观望的家长都给宝贝定下了活动优惠～不管咱们怎么想的，希望您能直接回复我哦～老师后续就不打扰您啦～不管怎么说；还是希望宝贝在火花能有一个更好的学习体验的呢～
LA:又到了黄金周末啦，近期专题难度增加，周末是参加免费专题复习课的黄金时期。
ὄ7ὄ7ὄ7每天具体的场次有：
8：00、9：00、10:00、11:00、12：00、13：00、14：00、15:00、16：00、17:00、18：00、19:00、20:00。
LA:这是一条引用/回复消息：
""火花思维廖老师：
Cindy妈妈，最后一天啦～很多犹豫观望的家长都给宝贝定下了活动优惠～不管咱们怎么想的，希望您能直接回复我哦～老师后续就不打扰您啦～不管怎么说；还是希望宝贝在火花能有一个更好的学习体验的呢～""
------
【618预售】活动今天倒计时，限时优惠，最后一天就结束了ἳ9       
ὊfὊf【价格减免】+【直播课时直送】+【实物礼品】+【199轻课】+【百分百中奖机会】+【价值499口语精灵6个月VIP权益】
活动截止前，随时和老师发消息哦
LA:宝妈，宝贝在火花的课程暂停在5月，最近咱们还有思考思维课或者数学课坚持学习吗？
掏心窝子说，其实哪有人真的不要脸不要皮一次一次说服您呢。但是我真的除了公司的要求外，觉得xx宝贝在火花学得不错，我对我们的课程内容也是真的实打实的很自信，我同事的孩子，自己的孩子以后都愿意让孩子学火花。我们以前小时候没有这种真的锻炼到孩子思维能力的课程，学数学/物理这种理科都走了很多弯路，现在您教育理念很好，又有能力能够帮助宝贝做培养，这真的是比买什么衣服，吃什么东西都能给孩子最珍贵的东西，衣服大了就穿不了了，玩具过两周可能就会忘记。但是思维能力真的是潜移默化帮助孩子的，哪怕是最近都能感受到孩子在思考问题时的条理性和逻辑严谨~

火花的思维课程内容真的挺好的，我带了这么多孩子，包括毕业了的学员，很多真的在校内或者竞赛里都有很多优秀的成绩，咱们坚持一定能够给孩子带来意想不到的惊喜的！

今天618活动就要结束了，咱们如果有88VIP的话，咱们还是趁着活动给孩子继续安排吧！学海无涯，咱们坚持学习一定有收获！
",0,0
"2024-05-25
*企微消息*
LA:今天周六，宝贝要学习《分析排水前后的不同》，记得准时进入课堂ἳ7

再坚持一下，ἳ1播种和收获，本就在不同的季节ἳ3
这个周末怎么过？20:00前每个整点都可以参加【嘉年华复习课】
LA:宝贝家长，我们逻辑思维的请假机会目前已经消耗完毕，如果再请假或者缺课，系统这边会消耗课时，为了养成宝贝良好的参课好习惯，我们记得提醒宝贝按时上课哦~如果因为特殊情况导致无法参课，您也记得提前联系我~
用户:老师，嘉奕身体不舒服，今天请假
LA:好的，先好好休息
LA:今天咱们学的是“倒水问题”和“水中浸物问题”，这部分内容孩子们在学校也会遇到，还是非常重要的，后面等家奕舒服些了记得补一节课哦～
*企微群聊消息*
老师:@高璐家奕妈妈，家奕怎么没来上课呀？
",0,1
"2024-05-25
*外呼消息*
LA:唉你好，可爱妈妈，火花的胡老师。
LA:嗯看到今天的课还是请假了，对吧？
LA:嗯今天现在是7月15这个是有事耽误了吗？
用户:嗯还是有点不舒服！
LA:倒有点不舒服。
LA:明天方便安排一些补课吗？
用户:嗯因为我看他情况，吧他好点了，我会给他上一些。
LA:您知道怎么约是吧？
用户:噢我知道。
LA:行行行，那宝贝先好好休息，等状态好一点，我们再安排补课。
LA:嗯行行行好好好打扰了。",1,1
"2024-05-25
*企微消息*
LA:咱们7:00和8:00都有嘉年华哦，可以去参加一下呢~
遗忘是常态，复习才是制胜秘籍~

点击学生端右上角-【嘉年华】参加哦~",0,0
"2024-05-25
*企微消息*
LA:咱们7:00和8:00都有嘉年华哦，可以去参加一下呢~
遗忘是常态，复习才是制胜秘籍~",0,0
"2024-05-25
*企微消息*
用户:我们停课了哦那天和你说
用户:今天不上课
LA:[捂脸][捂脸][捂脸][捂脸]再跟您商量的呀
LA:咱们也只有几节课了上完吧或者我给孩子换一个上课时间吧
LA:您看可以吗
LA:我今天家里爷爷身体不太好，回家在，您说时间了我晚上给孩子换一个时间您看可以吗
LA:这是一条引用/回复消息：
“曹瑕：
我们停课了哦那天和你说”
------
宝妈10点的了课您9点59跟我说可能真的有点来不及[皱眉][皱眉][皱眉][皱眉][皱眉]
*企微群聊消息*
老师:《照猫画虎(四)》这节课通过给出的已知新运算算式,寻找规律,从多种运算角度入手去观察和寻找运算法则,培养孩子对多个算式的对比能力,观察能力，增强孩子对四则运算的理解和应用。
[拳头]难点：遇到复杂的法则不知道怎么处理
在解决这个问题之前,家长需要明确一件事,在三年级的阶段,新运算法则本身是不会涉及到太复杂的运算法则,所以复杂运算法则的背后其实是需要寻找规律简化法则。孩子在做题的时,先理解复杂法则每一组数之间的规律。或从求未知算式入手,将算式代入法则中,变成已知算式后再寻找规律。",0,0
"2024-05-25
*企微消息*
LA:小燕子小朋友明天要学习《巧妙的转化进阶》，开课时间:2024-05-2609:00:00，准时参课哦！

课后坚持完成，ὁd火花秘籍&小老师视频，思维在不断运用中提升ὁd
",0,0
"2024-05-25
*企微消息*
LA:὎3插播一条小通知：今天是【满减400】最后一天啦！

您可以趁着活动划算给宝贝把课程备足，教务会给孩子预留新学年班位，后面就可以稳定学习进步啦~Ἱ3
LA:【中文素养】温馨提醒ἳ7

1.本周【周打卡任务】明晚结束，在火花思维家长端--我的--任务中心--中文素养，查看是否完成✔

2.本周完课后，记得督促一下宝贝及时完成【课后任务】
ὄ9检查孩子学习任务完成情况的方式：
火花思维家长端-我的课程页面-学习任务-中文素养
【火花秘籍】【小老师视频】【专题自评】这些都是需要小朋友坚持完成的~
LA:家长您好呀～宝贝今天在火花有课要上哦，上课的课次是【文常】希腊神话——英雄溯源（下），辛苦咱们提醒宝贝准时上课，有问题可以随时微信我哈~
LA:Ὀc再给您说下中文课包直减400=5180，这个优惠链接今晚会下架
我们继续学的话，本学年加上下学年【还需要120节课左右】
ὄ9Ἷb【淘宝88vip券减400】5180元下单链接：https://m.tb.cn/h.g2lekZLRiSyLoX7?tk=WWpHWFAbLGd

家人哇~不会有比减400更优惠的，给小朋友加上吧❤ 
LA:娜娜老师今日中文素养分享ἳ8

【赵括空谈兵】赵括是战国时期赵国名将赵奢之子，他从小就学习兵法，谈及军事。他曾与父亲赵奢谈论军事，赵奢挑不出他的毛病，但也不曾夸赞他。赵括的母亲问赵奢其中缘故，赵奢说：“战争是关乎生死存亡的大事，赵括却把它说得很简单。赵国不用赵括为将还好，如果用他为将，必使赵军遭受危难。公元前260年，秦国与赵国在长平激战，四十五万赵军在坚持了三个月后全军覆没，赵括本人也在战乱之中被乱箭射死。后世以此故事作为历史典故，总结出“纸上谈兵”这个成语。

赵括空谈兵
",0,0
"2024-05-25
*企微消息*
LA:又到了黄金周末啦，近期专题难度增加，周末是参加免费专题复习课的黄金时期。
ὄ7ὄ7ὄ7每天具体的场次有：
8：00、9：00、10:00、11:00、12：00、13：00、14：00、15:00、16：00、17:00、18：00、19:00、20:00。",0,0
"2024-05-25
*企微消息*
LA:又到了黄金周末啦，近期专题难度增加，周末是参加免费专题复习课的黄金时期。
ὄ7ὄ7ὄ7每天具体的场次有：
8：00、9：00、10:00、11:00、12：00、13：00、14：00、15:00、16：00、17:00、18：00、19:00、20:00。
用户:妹妹好，团团这两天感冒了，刚说没力气上课，今天得请个假[抱拳]
用户:在吗妹妹
LA:嗷嗷好的哦团团妈妈
LA:那宝贝先好好休息哈
LA:看宝贝啥时候舒服一点了咱们安排一下补课哦
用户:谢谢妹妹
LA:应该哒妈妈别客气哈
LA:刚刚在吃饭才看到咱们消息哟[拥抱]
用户:[拥抱][拥抱]
",0,1
"2024-05-25
*企微消息*
LA:恺恺妈妈~
LA:宝贝今天没有来上课是不是忘记啦",0,0
"2024-05-25
*企微消息*
用户:你好，晚上小羿请个假[抱拳][抱拳]
LA:明天有5个补课时间，明天方便补课吗
LA:小羿爸爸，是这样子的，我们是固定班级，如果我们原本定的时间上不了课，属于请假，会扣一次请假次数的。
如果不补课，就不会再消耗直播课时，如果安排直播补课，就会扣一节直播课时，用互动自学课补课就扣互动自学课课时。
1、有请假次数的时候：请假扣一次请假次数，直播补课扣直播课时，互动自学课补课扣互动自学课课时，不补课不扣课时。
2、无请假次数：请假扣一节直播课时，插班直播补课扣1000火花币（插班补课需要及时补课），补课班专列扣1节直播课时，互动自学课补课扣互动自学课课时。
*企微群聊消息*
*外呼消息*
LA:唉喂小一爸爸，火花思维廖老师，这会方便吗？
用户:啊你说。
LA:是跟咱们介绍一下那个宝宝的课后练习的一个完成，然后对。
用户:噢要不晚一点晚一点，我给你回个电话。
LA:好，可以，好，那到时候您回我，啊嗯好，拜拜。
用户:好，谢谢，啊嗯嗯谢谢，唉那个你后面可以打我另外一个号码。
LA:另外一个号码是7888那个号码吗？
用户:啊你对，1327698783个八，对，那个号码，我会可能会就比较了一些，好，谢谢！
LA:好好好，嗯拜拜！
用户:谢谢，嗯拜拜！",1,1
"2024-05-25
*企微消息*
LA:再坚持一下，ἳ1播种和收获，本就在不同的季节ἳ3
今天周六，一一宝贝要学习《八面披风与缠绕飞带（二）》，2024-05-2520:10:00准时进入ἳ7

惊喜藏在努力里ὠe周末也别忘记巩固【火花秘籍】和【小老师视频】哦~
用户:老师，谈喆益今天的课临时请个假哈，发烧了
LA:好的，那让宝贝先好好休息[拥抱][拥抱]
用户:好哒谢谢
LA:客气啦，希望宝贝早点好起来哦~[爱心]",0,0
"2024-05-25
*企微消息*
用户:尚老师，今天孩子发烧了，请一次假
LA:嗷嗷好的呀
LA:宝贝先好好休息哦
用户:谢谢您，一直忙着照顾孩子，都忘记要请假的事了
LA:[拥抱]没事没事我来帮妈妈请假哈
LA:舒服一点了咱们在补课就可以了哟
*企微群聊消息*",0,1
"2024-05-25
*企微消息*
LA:俊俊妈妈，宝贝好些了嘛
LA:今天周六，俊俊宝贝今要学习《逻辑排序进阶》，2024-05-2519:30:00准时进入ἳ7

这个周末怎么过？20:00前的整点别忘记整点进入【嘉年华复习课】
用户:还是要请假[捂脸]
LA:是没恢复好嘛
LA:还是有其它事情冲突了呀
LA:俊俊妈妈，要是时间不合适的话，要不我们再换时间？
LA:俊俊复课之后上了1节，接着请假了3节课，这个频次孩子吸收也不好呀
用户:实在没办法[捂脸]
LA:是最近时间都安排的太满了嘛
用户:刚吃上饭
LA:好滴好滴，让宝贝安心吃饭",0,0
